stream	dataset	path	group	working groups	type	status	enabling	target rate 2.0e34	target rate 1.4e34	HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                               HLT Prescales																										L1 seed {Note: "(L1_A) AND (L1_B)" refers to the actual seed (L1_A) and any L1 algo (L1_B) used to provide L1 candidates in the path (but not to seed the path). In case of doubt, the most trustable source is the configuration of the path itself.}	L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                               L1 Prescales																										
				e.g. "EXO-LL" or "HIG-ZZ" etc...						Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz		Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd200_v16	SMP		signal	prescaled	2E+34	1	1	0	2	2	3	4	5	7	7	9	10	14	2	2	3	4	5	7	7	9	10	14	0	0	0	0	0	L1_SingleJet120_FWD	60	40	40	30	20	15	10	8	5	3	1	40	40	30	20	15	10	8	5	3	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd260_v17	SMP		signal	prescaled	2E+34	1	1	0	15	15	14	13	12	12	10	8	5	3	15	15	14	13	12	12	10	8	5	3	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd320_v17	SMP		signal	prescaled	2E+34	1	1	0	4	4	4	3	3	3	3	2	1	1	4	4	4	3	3	3	3	2	1	1	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd400_v17	SMP		signal	prescaled	2E+34	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd40_v17	SMP		signal	prescaled	2E+34	1	1	0	62	62	58	93	86	83	72	54	36	18	62	62	58	93	86	83	72	54	36	18	0	0	0	0	0	L1_ZeroBias	12457	12457	12457	12457	7193	7193	7193	7193	7193	7193	7193	12457	12457	12457	7193	7193	7193	7193	6997	6997	6997	10487	12343	14983	17483	20983	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd450_v17	SMP		backup	unprescaled	2E+34	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd500_v17	SMP		backup	unprescaled	2E+34	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd60_v17	SMP		signal	prescaled	2E+34	1	1	0	1	1	1	1	3	6	9	13	16	16	1	1	1	1	3	6	9	13	16	16	0	0	0	0	0	L1_SingleJet35_FWD	120000	103000	103000	62000	32000	15000	7400	4100	2100	1150	580	103000	103000	62000	32000	15000	7400	4100	2100	1150	580	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_PFJetFwd80_v16	SMP		signal	prescaled	2E+34	1	1	0	3	3	5	8	14	22	28	33	38	36	3	3	5	8	14	22	28	33	38	36	0	0	0	0	0	L1_SingleJet60_FWD	9000	5100	5100	3100	1700	870	535	370	230	135	70	5100	5100	3100	1700	870	535	370	230	135	70	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_QuadPFJet103_88_75_15_v3	HIG		control	prescaled	2E+34	1	1	0	600	600	560	520	480	460	400	300	200	100	600	600	560	520	480	460	400	300	200	100	0	0	0	0	0	L1_TripleJet_98_83_71_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_QuadPFJet105_88_76_15_v3	HIG		control	prescaled	2E+34	1	1	0	581	581	542	503	464	445	387	290	194	97	581	581	542	503	464	445	387	290	194	97	0	0	0	0	0	L1_TripleJet_100_85_72_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_QuadPFJet111_90_80_15_v3	HIG		control	prescaled	2E+34	1	1	0	469	469	438	407	376	360	313	235	157	78	469	469	438	407	376	360	313	235	157	78	0	0	0	0	0	L1_TripleJet_105_85_76_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	JetHT	HLT_QuadPFJet98_83_71_15_v3	HIG		control	prescaled	2E+34	1	1	0	967	967	903	839	774	742	645	484	323	161	967	967	903	839	774	742	645	484	323	161	0	0	0	0	0	L1_TripleJet_92_76_64_VBF OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET100_HBHECleaned_v3	JME		control	prescaled	2E+34	1	1	0	412	412	384	357	329	316	275	206	137	69	412	412	384	357	329	316	275	206	137	69	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET100_NotCleaned_v3	JME		control	prescaled	2E+34	1	1	0	795	795	742	689	636	610	530	398	265	133	795	795	742	689	636	610	530	398	265	133	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET110_NotCleaned_v3	JME		control	prescaled	2E+34	1	1	0	443	443	413	384	354	339	295	221	148	74	443	443	413	384	354	339	295	221	148	74	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET250_HBHECleaned_v3	SUS,HIG		signal	prescaled	2E+34	1	1	0	10	10	9	8	8	7	6	5	3	2	10	10	9	8	8	7	6	5	3	2	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET250_NotCleaned_v3	SUS,HIG		backup	prescaled	2E+34	1	1	0	19	19	18	17	15	15	13	10	6	3	19	19	18	17	15	15	13	10	6	3	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET300_HBHECleaned_v3	SUS,HIG		backup	prescaled	2E+34	1	1	0	5	5	5	5	4	4	3	3	2	1	5	5	5	5	4	4	3	3	2	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET350_HBHECleaned_v3	SUS,HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET70_HBHECleaned_v3	JME		control	prescaled	2E+34	1	1	0	1734	1734	1618	1503	1387	1329	1156	867	578	289	1734	1734	1618	1503	1387	1329	1156	867	578	289	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET80_HBHECleaned_v3	JME		control	prescaled	2E+34	1	1	0	1210	1210	1130	1049	968	928	807	605	403	202	1210	1210	1130	1049	968	928	807	605	403	202	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET80_NotCleaned_v3	JME		control	prescaled	2E+34	1	1	0	2039	2039	1903	1767	1631	1563	1359	1019	680	340	2039	2039	1903	1767	1631	1563	1359	1019	680	340	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET90_HBHECleaned_v3	JME		control	prescaled	2E+34	1	1	0	889	889	830	771	711	682	593	445	296	148	889	889	830	771	711	682	593	445	296	148	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMET90_NotCleaned_v3	JME		control	prescaled	2E+34	1	1	0	1421	1421	1326	1232	1137	1089	947	711	474	237	1421	1421	1326	1232	1137	1089	947	711	474	237	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_CaloMHT90_v3	JME		control	prescaled	2E+34	1	1	0	2963	2963	2766	2568	2371	2272	1976	1482	988	494	2963	2963	2766	2568	2371	2272	1976	1482	988	494	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_DiJet110_35_Mjj650_PFMET110_v7	HIG		signal	unprescaled	2E+34	14	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleJet_90_30_DoubleJet30_Mass_Min620 OR L1_DoubleJet_100_30_DoubleJet30_Mass_Min620 OR L1_DoubleJet_100_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_110_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_110_40_DoubleJet40_Mass_Min620 OR L1_DoubleJet_115_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_115_40_DoubleJet40_Mass_Min620	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_DiJet110_35_Mjj650_PFMET120_v7	HIG		backup	unprescaled	2E+34	7.8	7.8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleJet_90_30_DoubleJet30_Mass_Min620 OR L1_DoubleJet_100_30_DoubleJet30_Mass_Min620 OR L1_DoubleJet_100_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_110_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_110_40_DoubleJet40_Mass_Min620 OR L1_DoubleJet_115_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_115_40_DoubleJet40_Mass_Min620	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_DiJet110_35_Mjj650_PFMET130_v7	HIG		backup	unprescaled	2E+34	6.2	6.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleJet_90_30_DoubleJet30_Mass_Min620 OR L1_DoubleJet_100_30_DoubleJet30_Mass_Min620 OR L1_DoubleJet_100_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_110_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_110_40_DoubleJet40_Mass_Min620 OR L1_DoubleJet_115_35_DoubleJet35_Mass_Min620 OR L1_DoubleJet_115_40_DoubleJet40_Mass_Min620	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_L1ETMHadSeeds_v1	JME		control	prescaled	2E+34	1	1	0	9918	9918	9257	8596	7935	7604	6612	4959	3306	1653	9918	9918	9257	8596	7935	7604	6612	4959	3306	1653	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_MET105_IsoTrk50_v8	EXO		signal	unprescaled	2E+34	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF80 OR L1_ETMHF80_HTT60er OR L1_ETMHF90 OR L1_ETMHF90_HTT60er OR L1_ETMHF100 OR L1_ETMHF100_HTT60er OR L1_ETMHF110 OR L1_ETMHF110_HTT60er OR L1_ETMHF120 OR L1_ETMHF120_HTT60er OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_MET120_IsoTrk50_v8	EXO		backup	unprescaled	2E+34	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF80 OR L1_ETMHF80_HTT60er OR L1_ETMHF90 OR L1_ETMHF90_HTT60er OR L1_ETMHF100 OR L1_ETMHF100_HTT60er OR L1_ETMHF110 OR L1_ETMHF110_HTT60er OR L1_ETMHF120 OR L1_ETMHF120_HTT60er OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v18	EXO,SUS		control	prescaled	2E+34	1	1	0	36	36	34	31	29	28	24	18	12	6	36	36	34	31	29	28	24	18	12	6	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v18	EXO,SUS		signal	unprescaled	2E+34	33	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_MonoCentralPFJet80_PFMETNoMu130_PFMHTNoMu130_IDTight_v17	EXO,SUS		backup	unprescaled	2E+34	24	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_MonoCentralPFJet80_PFMETNoMu140_PFMHTNoMu140_IDTight_v17	EXO,SUS		backup	unprescaled	2E+34	13	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1_v7	SUS,HIG		signal	partial	1.6E+34	10	10	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET100_PFMHT100_IDTight_PFHT60_v7	SUS,HIG,EXO,B2G		signal	partial	2E+34	0.2	0.2	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET110_PFMHT110_IDTight_CaloBTagCSV_3p1_v7	SUS,HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET110_PFMHT110_IDTight_v18	SUS,HIG,EXO,B2G		control	prescaled	2E+34	1	1	0	246	246	229	213	197	188	164	123	82	41	246	246	229	213	197	188	164	123	82	41	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET120_PFMHT120_IDTight_CaloBTagCSV_3p1_v7	SUS,HIG		signal	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET120_PFMHT120_IDTight_PFHT60_v7	SUS,HIG,EXO,B2G		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET120_PFMHT120_IDTight_v18	SUS,HIG,EXO,B2G		signal	unprescaled	2E+34	50	50	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET130_PFMHT130_IDTight_CaloBTagCSV_3p1_v7	SUS,HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET130_PFMHT130_IDTight_v18	SUS,HIG,EXO,B2G		backup	unprescaled	2E+34	34	34	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET140_PFMHT140_IDTight_CaloBTagCSV_3p1_v7	SUS,HIG		backup	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET140_PFMHT140_IDTight_v18	SUS,HIG,EXO,B2G		backup	unprescaled	2E+34	18	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET200_HBHECleaned_v7	SUS,HIG		control	prescaled	2E+34	1	1	0	22	22	21	19	18	17	15	11	7	4	22	22	21	19	18	17	15	11	7	4	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET200_HBHE_BeamHaloCleaned_v7	JME		signal	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET200_NotCleaned_v7	SUS,HIG		control	prescaled	2E+34	1	1	0	43	43	40	38	35	33	29	22	14	7	43	43	40	38	35	33	29	22	14	7	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsHadronsTaus	MET	HLT_PFMET250_HBHECleaned_v7	SUS,HIG,EXO		signal	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
